,Unnamed: 0,Manga,Volumn,Score
0,0,Berserk,"
        Manga (41 vols)<br/>
        Aug 1989 - Sep 2021<br/>
        537,346 members
",.45
1,1,JoJo no Kimyou na Bouken Part 7: Steel Ball Run,"
        Manga (24 vols)<br/>
        Jan 2004 - Apr 2011<br/>
        204,667 members
",.27
2,2,One Piece,"
        Manga (? vols)<br/>
        Jul 1997 - <br/>
        490,557 members
",.1
3,3,Vagabond,"
        Manga (37 vols)<br/>
        Sep 1998 - May 2015<br/>
        275,606 members
",.16
4,4,Monster,"
        Manga (18 vols)<br/>
        Dec 1994 - Dec 2001<br/>
        187,264 members
",.10
5,5,Fullmetal Alchemist,"
        Manga (27 vols)<br/>
        Jul 2001 - Sep 2010<br/>
        261,381 members
",.06
6,6,Slam Dunk,"
        Manga (31 vols)<br/>
        Sep 1990 - Jun 1996<br/>
        130,362 members
",.05
7,7,Grand Blue,"
        Manga (? vols)<br/>
        Apr 2014 - <br/>
        145,678 members
",.04
8,8,Oyasumi Punpun,"
        Manga (13 vols)<br/>
        Mar 2007 - Nov 2013<br/>
        346,109 members
",.03
9,9,Vinland Saga,"
        Manga (? vols)<br/>
        Apr 2005 - <br/>
        228,416 members
","8"">8."
10,10,Kingdom,"
        Manga (? vols)<br/>
        Jan 2006 - <br/>
        137,464 members
","8"">8.98"
11,11,Monogatari Series: First Season,"
        Light Novel (6 vols)<br/>
        Nov 2006 - Jul 2010<br/>
        51,593 members
","8"">8.96"
12,12,20th Century Boys,"
        Manga (22 vols)<br/>
        Sep 1999 - Apr 2006<br/>
        188,627 members
","8"">8.95"
13,13,Ashita no Joe,"
        Manga (20 vols)<br/>
        Jan 1968 - May 1973<br/>
        41,200 members
","8"">8.95"
14,14,Houseki no Kuni,"
        Manga (? vols)<br/>
        Oct 2012 - <br/>
        91,216 members
","8"">8.94"
15,15,Monogatari Series: Second Season,"
        Light Novel (6 vols)<br/>
        Oct 2010 - Dec 2011<br/>
        19,774 members
","8"">8.91"
16,16,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,"
        Light Novel (14 vols)<br/>
        May 2015 - Sep 2019<br/>
        63,183 members
","8"">8.91"
17,17,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,"
        Manga (? vols)<br/>
        May 2015 - <br/>
        215,213 members
","8"">8.91"
18,18,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,"
        Light Novel (? vols)<br/>
        Jan 2020 - <br/>
        22,429 members
","8"">8.91"
19,19,Mikkakan no Koufuku,"
        Novel (1 vols)<br/>
        Dec 2013 - Dec 2013<br/>
        11,715 members
","8"">8.91"
20,20,3-gatsu no Lion,"
        Manga (? vols)<br/>
        Jul 2007 - <br/>
        55,833 members
","8"">8.90"
21,21,GTO,"
        Manga (25 vols)<br/>
        Dec 1996 - Jan 2002<br/>
        141,169 members
","8"">8.8"
22,22,Real,"
        Manga (? vols)<br/>
        1999 - <br/>
        64,107 members
","8"">8.8"
23,23,Yotsuba to!,"
        Manga (? vols)<br/>
        Mar 2003 - <br/>
        131,737 members
","8"">8.87"
24,24,Koe no Katachi,"
        Manga (7 vols)<br/>
        Aug 2013 - Nov 2014<br/>
        242,482 members
","8"">8.86"
25,25,Haikyuu!!,"
        Manga (45 vols)<br/>
        Feb 2012 - Jul 2020<br/>
        184,518 members
","8"">8.84"
26,26,Ookami to Koushinryou,"
        Light Novel (? vols)<br/>
        Feb 2006 - <br/>
        57,708 members
","8"">8.84"
27,27,Kaze no Tani no Nausicaä,"
        Manga (7 vols)<br/>
        Oct 1982 - Feb 1994<br/>
        49,184 members
","8"">8.83"
28,28,Akatsuki no Yona,"
        Manga (? vols)<br/>
        Aug 2009 - <br/>
        115,059 members
","8"">8.83"
29,29,Monogatari Series: Final Season,"
        Light Novel (6 vols)<br/>
        Sep 2012 - Sep 2014<br/>
        15,870 members
","8"">8.83"
30,30,Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,"
        Manga (9 vols)<br/>
        Jan 2012 - Jun 2015<br/>
        12,539 members
","8"">8.81"
31,31,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,"
        Light Novel (18 vols)<br/>
        Mar 2011 - Apr 2021<br/>
        64,391 members
","8"">8.80"
32,32,"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.","
        Manga (3 vols)<br/>
        Aug 2016 - Oct 2017<br/>
        123,465 members
","8"">8.80"
33,33,Made in Abyss,"
        Manga (? vols)<br/>
        Oct 2012 - <br/>
        125,965 members
","8"">8.7"
34,34,86,"
        Light Novel (? vols)<br/>
        Feb 2017 - <br/>
        28,570 members
","8"">8.7"
35,35,Re:Zero kara Hajimeru Isekai Seikatsu,"
        Light Novel (? vols)<br/>
        Jan 2014 - <br/>
        58,287 members
","8"">8.7"
36,36,Uchuu Kyoudai,"
        Manga (? vols)<br/>
        Dec 2007 - <br/>
        29,151 members
","8"">8.7"
37,37,Nana,"
        Manga (21 vols)<br/>
        May 2000 - May 2009<br/>
        106,222 members
","8"">8.76"
38,38,Utsuro no Hako to Zero no Maria,"
        Light Novel (7 vols)<br/>
        Jan 2009 - Jun 2015<br/>
        95,248 members
","8"">8.75"
39,39,Mushoku Tensei: Isekai Ittara Honki Dasu,"
        Light Novel (? vols)<br/>
        Jan 2014 - <br/>
        62,497 members
","8"">8.75"
40,40,Mushishi,"
        Manga (10 vols)<br/>
        Nov 1999 - Aug 2008<br/>
        69,602 members
","8"">8.74"
41,41,Sayonara Eri,"
        One-shot (? vols)<br/>
        Apr 2022 - Apr 2022<br/>
        36,659 members
","8"">8.74"
42,42,One Punch-Man,"
        Manga (? vols)<br/>
        Jun 2012 - <br/>
        392,221 members
","8"">8.73"
43,43,Solo Leveling,"
        Manhwa (? vols)<br/>
        Mar 2018 - Dec 2021<br/>
        356,252 members
","8"">8.73"
44,44,Chainsaw Man,"
        Manga (11 vols)<br/>
        Dec 2018 - Dec 2020<br/>
        411,536 members
","8"">8.72"
45,45,The Horizon,"
        Manhwa (3 vols)<br/>
        Mar 2016 - Jul 2016<br/>
        49,536 members
","8"">8.72"
46,46,Blue Period,"
        Manga (? vols)<br/>
        Jun 2017 - <br/>
        94,634 members
","8"">8.71"
47,47,Yokohama Kaidashi Kikou,"
        Manga (14 vols)<br/>
        Apr 1994 - Feb 2006<br/>
        61,049 members
","8"">8.71"
48,48,Death Note,"
        Manga (12 vols)<br/>
        Dec 2003 - May 2006<br/>
        352,105 members
","8"">8.71"
49,49,Natsume Yuujinchou,"
        Manga (? vols)<br/>
        Jun 2003 - <br/>
        38,759 members
","8"">8.71"
